route_id,service_id,trip_id
1,1030,1201214
1,1043,1199441
1,1043,1270512
1,1043,1510559
1,109,1032658
1,109,1043365
1,109,1112030
1,109,1388337
1,109,1510674
1,109,1616092
1,109,1652167
1,109,1699657
1,109,6314
1,109,885904
1,109,993039
1,1104,1067287
1,1104,1651461
1,1125,1077066
1,1146,1075491
1,1152,40653
1,1152,774336
1,1179,539083
1,1232,1670793
1,1274,107281
1,1274,1331411
1,1274,188293
1,1274,433275
1,1274,704472
1,1274,93743
1,1274,952764
1,155,510746
1,164,1105430
1,188,1418387
1,219,163844
1,302,1511706
1,302,946901
1,302,973851
1,335,1215439
1,370,1344108
1,370,1381331
1,370,63006
1,370,682883
1,49,1309519
1,49,444543
1,501,1607468
1,501,943841
1,504,1008408
1,504,1071834
1,504,1127680
1,504,1150907
1,504,1384128
1,504,1482169
1,504,252802
1,504,33527
1,504,351752
1,504,615068
1,504,639360
1,504,772245
1,504,809024
1,504,828759
1,504,882859
1,55,1429332
1,566,288178
1,631,558003
1,633,1326047
1,701,602070
1,704,510663
1,704,688256
1,763,1251250
1,763,1334016
1,763,1356780
1,763,1410045
1,763,1540788
1,763,257627
1,763,271428
1,763,428386
1,763,714468
1,763,811538
1,763,993847
1,791,1295649
1,791,1631239
1,827,1101524
1,870,567043
1,953,891884
10,1033,1627639
10,1041,1527025
10,1046,1497059
10,1046,57700
10,1046,80895
10,1051,616040
10,1072,1291398
10,1085,1300059
10,1085,1499351
10,1085,400817
10,1085,750675
10,1085,98589
10,1132,875545
10,115,487508
10,115,722719
10,1182,404797
10,1182,719246
10,1187,1144070
10,1187,601569
10,1208,520286
10,1230,294530
10,1258,1076723
10,1258,1459987
10,1258,1552689
10,1258,1684086
10,1263,1692010
10,1263,478914
10,1266,878714
10,131,1199754
10,206,817198
10,227,915125
10,23,773297
10,230,1083840
10,264,1081972
10,264,1084626
10,264,151628
10,264,1593429
10,264,773531
10,264,980188
10,284,1138284
10,29,1258309
10,309,1183273
10,309,1513632
10,310,1315390
10,344,1557021
10,344,740736
10,344,97950
10,345,1451707
10,35,1403615
10,373,1143874
10,376,184254
10,377,1016432
10,377,828732
10,397,860136
10,411,1605599
10,411,1703315
10,411,194411
10,411,241040
10,411,390184
10,411,408619
10,411,944541
10,431,308794
10,469,425329
10,473,567301
10,475,1108407
10,484,702881
10,496,306218
10,504,1333580
10,504,1348593
10,504,1682599
10,504,3845
10,504,666710
10,593,119796
10,593,4560
10,599,484821
10,599,809741
10,616,1197788
10,616,1259429
10,643,883258
10,704,1508348
10,704,383304
10,754,1141937
10,754,1219696
10,754,460629
10,792,1237360
10,792,131042
10,807,544234
10,832,1655729
10,86,1238739
10,898,1537276
10,924,1169409
10,924,1484441
10,924,1705327
10,93,1528002
10,979,769200
100,1003,944203
100,1016,1367528
100,1053,333655
100,1061,336001
100,1061,649625
100,1061,87555
100,1061,905879
100,1067,1169194
100,1067,1311609
100,1067,1413376
100,1067,1438314
100,1067,1600272
100,1067,38425
100,1067,466494
100,1067,619773
100,1067,666245
100,1067,759291
100,1085,1282676
100,1085,233261
100,1085,237156
100,1085,257909
100,1085,439966
100,1085,63665
100,1087,1283324
100,1091,1201929
100,1092,1425627
100,1092,401306
100,1095,1340281
100,1095,193166
100,1095,821947
100,1095,959645
100,1102,1067015
100,1102,1525214
100,1108,1211788
100,1108,504796
100,1117,290363
100,1119,366458
100,1119,901225
100,1152,1014020
100,1152,1067036
100,1152,1080787
100,1152,1134141
100,1152,1201615
100,1152,1313668
100,1152,1350444
100,1152,152474
100,1152,231653
100,1152,388982
100,1152,878512
100,1152,934615
100,1152,943629
100,1157,1222076
100,1157,1284218
100,1157,172745
100,1157,96358
100,1165,1135243
100,1167,1425264
100,1167,390981
100,1167,501520
100,1167,557765
100,1167,805916
100,1167,961098
100,1187,1545713
100,1189,365733
100,1189,918912
100,1197,198815
100,1203,1085798
100,1203,27228
100,1203,772722
100,1203,853278
100,1206,942291
100,1209,1058564
100,1209,1156049
100,1209,1541148
100,1209,194776
100,1209,765177
100,1210,1085407
100,1219,711607
100,1234,1693436
100,1263,1256159
100,1266,1005481
100,1266,1024919
100,1266,1082213
100,1266,1227167
100,1266,186007
100,1266,668551
100,1266,779345
100,138,407199
100,171,66190
100,189,88953
100,191,1290239
100,191,330762
100,191,510610
100,191,516439
100,193,1553846
100,203,1679395
100,203,823556
100,206,1009686
100,206,1353060
100,206,1422396
100,206,1638725
100,206,543652
100,206,952680
100,206,985473
100,218,486103
100,218,688519
100,218,783700
100,230,1243592
100,239,1147549
100,239,1281613
