stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
Bressanone/Brixen,,614392,46.709896,11.649764,1
Bressanone/Brixen,614392,581526,46.709896,11.649764,
Brig,,301456,46.319424,7.988095,1
Brig,301456,43249,46.319424,7.988095,
Brno hl.n.,,605463,49.19054,16.612774,1
Brno hl.n.,605463,217266,49.19054,16.612774,
Bruchsal,,322837,49.124924,8.590347,1
Bruchsal,322837,151321,49.125088,8.590113,
Bruchsal,322837,204982,49.125053,8.590275,
Bruchsal,322837,314033,49.124622,8.589649,
Bruchsal,322837,619910,49.12513,8.589924,
Bruck/Mur,,387474,47.41383,15.279433,1
Bruck/Mur,387474,266814,47.41383,15.279433,
Brugg AG,,668139,47.48086,8.208845,1
Brugg AG,668139,639780,47.48086,8.208845,
Bruxelles Midi,,170271,50.835377,4.335694,1
Bruxelles Midi,170271,99193,50.835377,4.335694,
Bruxelles-Nord,,415317,50.860237,4.361454,1
Bruxelles-Nord,415317,297970,50.860237,4.361454,
Buchloe,,189025,48.033722,10.716219,1
Buchloe,189025,100710,48.033638,10.716084,
Buchloe,189025,175968,48.033585,10.716273,
Buchloe,189025,388824,48.03355,10.716389,
Budapest-Kelenföld,,124836,47.464355,19.020456,1
Budapest-Kelenföld,124836,89596,47.464355,19.020456,
Budapest-Keleti,,210632,47.50038,19.085072,1
Budapest-Keleti,210632,340785,47.50038,19.085072,
Budapest-Nyugati,,132315,47.510708,19.057467,1
Budapest-Nyugati,132315,425996,47.510708,19.057467,
Bydgoszcz Glowna,,279326,53.135113,17.991636,1
Bydgoszcz Glowna,279326,69673,53.135113,17.991636,
Böblingen,,147840,48.687847,9.004533,1
Böblingen,147840,101883,48.688004,9.00438,
Böblingen,147840,662847,48.687847,9.004641,
Büchen,619847,331032,53.474976,10.623292,
"Büchen, Büchen",,619847,53.47663,10.620937,1
Bünde(Westf),211606,203195,52.20239,8.574419,
Bünde(Westf),211606,581171,52.202274,8.574509,
"Bünde, Bahnhof / ZOB",,211606,52.202076,8.573871,1
Bützow,493097,39045,53.83704,11.997872,
Bützow,493097,556922,53.83715,11.998132,
Bützow Bahnhof,,493097,53.837006,11.997513,1
Celje,,111317,46.228558,15.26798,1
Celje,111317,149530,46.228558,15.26798,
Celle,60523,537222,52.620457,10.062468,
Celle Bahnhof,,60523,52.62075,10.064787,1
Ceska Trebova,,567452,49.897324,16.446808,1
Ceska Trebova,567452,326817,49.897324,16.446808,
Chemnitz Hbf,280386,11265,50.839695,12.930877,
Chemnitz Hbf,280386,395234,50.83933,12.931177,
Chemnitz Hbf,280386,437998,50.84002,12.930907,
Chemnitz Hbf,280386,458877,50.839336,12.931096,
Chemnitz Hbf,280386,539058,50.84013,12.930215,
Chemnitz Hbf,280386,553369,50.84004,12.930799,
Chemnitz Hbf,280386,9674,50.83933,12.930952,
"Chemnitz, Hauptbahnhof",,280386,50.83963,12.930692,1
Chur,,575952,46.853085,9.528938,1
Chur,575952,456556,46.853085,9.528938,
Coburg,,3614,50.262924,10.957326,1
Coburg,3614,186801,50.263447,10.957201,
Coburg,3614,469849,50.26347,10.957452,
Cottbus Hbf,366873,43837,51.75054,14.323346,
Cottbus Hbf,366873,4495,51.751488,14.323561,
Cottbus Hbf,366873,608977,51.751553,14.323517,
"Cottbus, Hauptbahnhof",,366873,51.750984,14.324464,1
Crailsheim,599988,338937,49.13812,10.064814,
Crailsheim,599988,610794,49.13787,10.064326,
Crailsheim,599988,649968,49.138126,10.064572,
Crailsheim Bahnhof,,599988,49.137913,10.06432,1
Czechowice-Dziedzice,,379468,49.915104,19.00465,1
Czechowice-Dziedzice,379468,279263,49.915104,19.00465,
D-Flughafen Bf,,11637,51.292088,6.786979,1
Dagebüll Kirche,,518208,54.73058,8.729632,1
Dagebüll Kirche,518208,403743,54.73028,8.729485,
Dagebüll Mole,,586442,54.73011,8.690239,1
Dagebüll Mole,586442,612026,54.729908,8.690989,
Darmstadt Hauptbahnhof,,157356,49.87194,8.631148,1
Darmstadt Hbf,157356,263244,49.87304,8.629164,
Debica,,507799,50.054417,21.405565,1
Debica,507799,478248,50.054417,21.405565,
Decin hl.n.,,68445,50.773193,14.200972,1
Decin hl.n.,68445,69190,50.773415,14.201247,
Deezbüll,,507608,54.77697,8.818274,1
Deezbüll,507608,392068,54.77697,8.818274,
Delmenhorst,,349185,53.05278,8.629879,1
Delmenhorst,349185,600712,53.05279,8.629758,
Dessau Hbf,,472927,51.839867,12.234945,1
Dessau Hbf,472927,193538,51.839867,12.234945,
Deventer,,505094,52.257435,6.160506,1
Deventer,505094,114283,52.257435,6.160506,
Diepholz,,239242,52.6046,8.380249,1
Diepholz,239242,97693,52.6046,8.380267,
Dillenburg,519008,287438,50.734905,8.294586,
Dillenburg Bahnhof,,519008,50.734905,8.294586,1
Doberlug-Kirchhain,533260,271943,51.620533,13.564268,
Doberlug-Kirchhain,533260,546547,51.62053,13.564161,
"Doberlug-Kirchhain, Bahnhof",,533260,51.62061,13.564187,1
Dobova,,642087,45.89839,15.655178,1
Dobova,642087,67607,45.89839,15.655178,
Dobova(Gr),,411137,45.890633,15.680238,1
Dobova(Gr),411137,455964,45.890633,15.680238,
Donaueschingen,53338,14827,47.94808,8.498727,
Donaueschingen,53338,78392,47.94801,8.4987,
Donaueschingen Bahnhof,,53338,47.94753,8.499428,1
Donauwörth,,33045,48.714024,10.771447,1
Donauwörth,33045,428919,48.71413,10.771654,
Donauwörth,33045,509754,48.71402,10.771564,
Donauwörth,33045,79653,48.714027,10.771443,
Dornbirn,,289783,47.41769,9.738808,1
Dornbirn,289783,282943,47.41769,9.738808,
Dortmund Hbf,,16934,51.51689,7.459592,1
Dortmund Hbf,16934,156011,51.517883,7.458721,
Dortmund Hbf,16934,159471,51.5176,7.458793,
Dortmund Hbf,16934,274288,51.518063,7.458685,
Dortmund Hbf,16934,285090,51.517456,7.458829,
Dortmund Hbf,16934,39754,51.51821,7.45864,
Dortmund Hbf,16934,512933,51.51796,7.458703,
Dortmund Hbf,16934,54320,51.517895,7.45929,
Dortmund Hbf,16934,69722,51.517723,7.458775,
Dortmund Scharnhorst Bf,,150735,51.538452,7.537602,1
Dortmund-Scharnhorst,150735,19187,51.538372,7.536564,
Dresden Bahnhof Neustadt,,536430,51.065426,13.740882,1
Dresden Hauptbahnhof,,440942,51.03993,13.732932,1
Dresden Hbf,440942,216798,51.039875,13.731396,
Dresden Hbf,440942,225179,51.040684,13.731863,
Dresden Hbf,440942,267733,51.040016,13.731531,
Dresden-Neustadt,536430,10775,51.065994,13.740424,
Dresden-Neustadt,536430,490162,51.066097,13.740235,
Dresden-Neustadt,536430,527558,51.066017,13.740352,
Dresden-Neustadt,536430,581013,51.06591,13.740541,
Duisburg Hbf,,524034,51.430454,6.774528,1
Duisburg Hbf,524034,22484,51.42997,6.775902,
Duisburg Hbf,524034,245964,51.43,6.775696,
Duisburg Hbf,524034,448244,51.43001,6.775624,
Duisburg Hbf,524034,473802,51.429836,6.777088,
Duisburg Hbf,524034,612791,51.429867,6.776882,
Duisburg Hbf,524034,634223,51.42987,6.776801,
Duisburg Hbf,524034,653436,51.429787,6.775903,
Döbeln Hbf,666571,269108,51.12688,13.095119,
"Döbeln, Hauptbahnhof",,666571,51.126686,13.09564,1
Düren,,448604,50.809517,6.482451,1
Düren,448604,474266,50.809517,6.482451,
Düsseldorf Flughafen,11637,270969,51.29135,6.786853,
Düsseldorf Flughafen,11637,442464,51.291367,6.787158,
Düsseldorf Hbf,,354878,51.220253,6.792997,1
Düsseldorf Hbf,354878,172775,51.219315,6.795261,
Düsseldorf Hbf,354878,196548,51.219612,6.794632,
Düsseldorf Hbf,354878,237768,51.219505,6.794866,
Düsseldorf Hbf,354878,282070,51.219975,6.793869,
Düsseldorf Hbf,354878,296053,51.219543,6.794776,
Düsseldorf Hbf,354878,317892,51.219433,6.795027,
Düsseldorf Hbf,354878,439854,51.219395,6.795099,
Düsseldorf Hbf,354878,456977,51.219963,6.794319,
Düsseldorf Hbf,354878,55920,51.220028,6.793752,
Düsseldorf Hbf,354878,648807,51.21986,6.794111,
Eindhoven Centraal,,375672,51.44302,5.479576,1
Eindhoven Centraal,375672,162246,51.44302,5.479576,
Eisenach Hbf,199176,303103,50.975952,10.331229,
"Eisenach, Hbf",,199176,50.976894,10.331974,1
Ellwangen,317518,954,48.96439,10.129664,
Ellwangen Bahnhof,,317518,48.964535,10.129762,1
Elsterwerda,676457,398467,51.46012,13.51666,
Elsterwerda,676457,39873,51.459404,13.516305,
"Elsterwerda, Bahnhof",,676457,51.459805,13.516412,1
Emden Außenhafen,554611,222843,53.344498,7.186394,
Emden Hbf,343684,471229,53.36933,7.195423,
Emden(Ostfriesl) Außenhafen,,554611,53.344498,7.186394,1
Emden(Ostfriesl) Hbf,,343684,53.36925,7.195502,1
Emmerich(Gr),,58461,51.901196,6.137652,1
Emmerich(Gr),58461,235749,51.901196,6.137652,
Engen,128278,556834,47.8561,8.772597,
Engen Bahnhof,,128278,47.856007,8.772561,1
"Erfurt, Hauptbahnhof",,253081,50.972057,11.037305,1
Ergenzingen,597772,262529,48.489243,8.809751,
Ergenzingen,597772,414806,48.48959,8.810191,
Ergenzingen Bahnhof,,597772,48.489594,8.809949,1
Erkelenz,,271696,51.076595,6.321634,1
Erkelenz,271696,666238,51.076595,6.321634,
Erlangen,,550712,49.595825,11.00164,1
Erlangen,550712,113680,49.596157,11.001488,
Erlangen,550712,350023,49.59583,11.001638,
Erlangen,550712,661808,49.596188,11.001685,
Essen Hbf,,573074,51.449734,7.012213,1
Essen Hbf,573074,172342,51.451355,7.014793,
Essen Hbf,573074,318561,51.451164,7.014028,
Essen Hbf,573074,363366,51.45151,7.013974,
Essen Hbf,573074,607435,51.451736,7.013938,
Essen Hbf,573074,630671,51.45159,7.013956,
Essen Hbf,573074,653130,51.451363,7.014001,
Eutingen im Gäu,70699,195135,48.479736,8.782361,
Eutingen im Gäu Bahnhof,,70699,48.47957,8.781643,1
Feldkirch,,11324,47.24098,9.604102,1
Feldkirch,11324,16278,47.24098,9.604102,
Fieberbrunn,,94709,47.49114,12.528944,1
Fieberbrunn,94709,197187,47.49114,12.528944,
Finnentrop,38383,360606,51.1729,7.96467,
Finnentrop Bf,,38383,51.173046,7.964562,1
Fischen,,115518,47.456596,10.271723,1
"Fischen, Bahnhof",115518,455425,47.4566,10.271032,
Flensburg,,450669,54.774048,9.436687,1
Flensburg,450669,471594,54.77395,9.436603,
Flensburg,450669,610531,54.773857,9.436511,
Flensburg [Grenze],,194682,54.814842,9.36324,1
Flensburg(Gr),194682,259512,54.814842,9.36324,
Flughafen BER,,468963,52.364605,13.509874,1
Flughafen BER,468963,304916,52.364063,13.509307,
Flughafen BER,468963,400228,52.36424,13.509191,
Flughafen BER,468963,421622,52.36416,13.509246,
Flughafen BER,468963,609470,52.364323,13.509145,
Flughafen Köln/Bonn Bf,,594296,50.878902,7.119301,1
Flughafen Wien,,317517,48.120903,16.56307,1
Flughafen Wien,317517,84932,48.120903,16.56307,
Forbach(F),,388464,49.189217,6.900258,1
Forbach(F),388464,601927,49.189217,6.900258,
Forbach(fr),,298915,49.21409,6.944314,1
Forbach(fr),298915,82275,49.21409,6.944314,
Frankfurt (Main) Hauptbahnhof,,310949,50.107155,8.663759,1
Frankfurt (Main) Südbahnhof,,492252,50.099327,8.686442,1
Frankfurt (Main) Westbahnhof,,193134,50.119446,8.639455,1
"Frankfurt (Oder), Bahnhof",,222458,52.336708,14.547147,1
Frankfurt(M) Flughafen Fernbf,,544653,50.053165,8.570185,1
Frankfurt(M) Flughafen Fernbf,544653,14242,50.053165,8.570185,
Frankfurt(M) Flughafen Regionalbf,,514850,50.05122,8.571251,1
Frankfurt(M) Flughafen Regionalbf,514850,657486,50.05122,8.571251,
Frankfurt(Main)Hbf,310949,161955,50.10587,8.663474,
Frankfurt(Main)Hbf,310949,226426,50.106102,8.663151,
Frankfurt(Main)Hbf,310949,232906,50.104183,8.659307,
Frankfurt(Main)Hbf,310949,241963,50.1062,8.663011,
Frankfurt(Main)Hbf,310949,252820,50.106686,8.662504,
Frankfurt(Main)Hbf,310949,258866,50.10636,8.662772,
Frankfurt(Main)Hbf,310949,263703,50.107098,8.662068,
Frankfurt(Main)Hbf,310949,269537,50.10647,8.662687,
Frankfurt(Main)Hbf,310949,322638,50.1069,8.662237,
Frankfurt(Main)Hbf,310949,35255,50.10696,8.662195,
Frankfurt(Main)Hbf,310949,376892,50.106003,8.663306,
Frankfurt(Main)Hbf,310949,398542,50.107033,8.662124,
Frankfurt(Main)Hbf,310949,434654,50.106262,8.662941,
Frankfurt(Main)Hbf,310949,470881,50.10577,8.663461,
Frankfurt(Main)Hbf,310949,51314,50.10681,8.66235,
Frankfurt(Main)Hbf,310949,513557,50.106148,8.663123,
Frankfurt(Main)Hbf,310949,539346,50.1063,8.662814,
Frankfurt(Main)Hbf,310949,542687,50.10662,8.662561,
Frankfurt(Main)Hbf,310949,668661,50.106754,8.662378,
Frankfurt(Main)Hbf,310949,78391,50.10652,8.662645,
Frankfurt(Main)Süd,492252,307041,50.099003,8.686179,
Frankfurt(Main)Süd,492252,398315,50.099205,8.685283,
Frankfurt(Main)Süd,492252,614722,50.099064,8.686108,
Frankfurt(Main)West,193134,217620,50.11939,8.638952,
Frankfurt(Oder),222458,258917,52.336563,14.545988,
Frankfurt(Oder),222458,298235,52.336643,14.54624,
Frankfurt(Oder),222458,628251,52.336605,14.546146,
Frankfurt(Oder)(Gr),,215099,52.321175,14.576403,1
Frankfurt(Oder)(Gr),215099,205590,52.321175,14.576403,
Fredericia st,,263707,55.56809,9.738813,1
Fredericia st,263707,50996,55.56809,9.738813,
Freiberg(Sachs),77913,396431,50.908634,13.344572,
Freiberg(Sachs),77913,540241,50.908737,13.344644,
"Freiberg, Bahnhof",,77913,50.90936,13.342219,1
Freiburg Hauptbahnhof,,215263,47.996616,7.840442,1
Freiburg(Breisgau) Hbf,215263,160845,47.997696,7.84117,
Freiburg(Breisgau) Hbf,215263,362404,47.99773,7.841511,
Freiburg(Breisgau) Hbf,215263,502006,47.997765,7.841295,
Freiburg(Breisgau) Hbf,215263,550360,47.997704,7.841619,
Freilassing,,578118,47.836914,12.977197,1
Freilassing,578118,189388,47.836918,12.977193,
Freilassing,578118,44505,47.83703,12.976586,
Freilassing,578118,550980,47.836205,12.977997,
Freilassing Bahnhof,578118,56446,47.83622,12.977907,
Frick,,485747,47.507164,8.01268,1
Frick,485747,440663,47.507164,8.01268,
Friedberg (Hessen) Bahnhof,,235573,50.332745,8.761246,1
Friedrichsh. Stadtbahnhof,,471722,47.653057,9.473426,1
Friedrichshafen Stadt,471722,309753,47.653084,9.473498,
Fulda,581293,239545,50.555016,9.683904,
Fulda Bahnhof,,581293,50.55492,9.683761,1
"GD, Bahnhof",,366138,48.800285,9.787118,1
Garmisch-Partenkirchen,,38621,47.491455,11.097014,1
Garmisch-Partenkirchen,38621,309433,47.49119,11.098515,
Garmisch-Partenkirchen,38621,33225,47.491116,11.098326,
Garmisch-Partenkirchen,38621,638763,47.49107,11.098209,
Gdansk Glowny,,275702,54.35552,18.643803,1
Gdansk Glowny,275702,355613,54.35552,18.643803,
Gdansk Oliwa,,242439,54.409893,18.571741,1
Gdansk Oliwa,242439,76282,54.409893,18.571741,
Gdansk Wrzeszcz,,616545,54.38186,18.605434,1
Gdansk Wrzeszcz,616545,365844,54.38186,18.605434,
Gdynia Glowna,,390388,54.52084,18.529556,1
Gdynia Glowna,390388,343130,54.52084,18.529556,
Geilenkirchen,,348573,50.96104,6.124518,1
Geilenkirchen,348573,36327,50.96104,6.124518,
Gelsenkirchen Hbf,,307987,51.504925,7.102206,1
Gelsenkirchen Hbf,307987,248538,51.5049,7.102455,
Gelsenkirchen Hbf,307987,34931,51.504814,7.103177,
Gelsenkirchen Hbf,307987,395237,51.505142,7.103015,
Gelsenkirchen Hbf,307987,462623,51.50487,7.103141,
Gelsenkirchen Hbf,307987,79467,51.50504,7.103051,
Gelsenkirchen Hbf,307987,91729,51.504982,7.103087,
Gera Hbf,,74426,50.88342,12.077098,1
Gera Hbf,74426,352482,50.883423,12.077092,
Gießen,22656,585882,50.579884,8.663799,
Gießen Bahnhof,,22656,50.579884,8.663799,1
Gliwice,,470078,50.301105,18.677158,1
Gliwice,470078,384749,50.301105,18.677158,
Glogow,,657883,51.668957,16.079712,1
Glogow,657883,263990,51.668957,16.079712,
Gniezno,,449447,52.52965,17.602184,1
Gniezno,449447,137961,52.52965,17.602184,
